nd2_path,nd2_relpath,filename,stem,num_channels,channel_names,channel_source,stains,metadata_error
/Volumes/MannySSD/rw/6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec left org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec left org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec left org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec left org,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org_0001.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org_0001.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org_0001.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org_0001,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org_0002.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org_0002.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org_0002.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org_0002,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org_0003.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org_0003.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org_0003.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 2 mid sec right org_0003,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.23 DCX Nes E2P2 DIV 18 Slide 3 mid sec left org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 3 mid sec left org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 3 mid sec left org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 3 mid sec left org,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.23 DCX Nes E2P2 DIV 18 Slide 4 mid sec left org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 4 mid sec left org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 4 mid sec left org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 4 mid sec left org,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.23 DCX Nes E2P2 DIV 18 Slide 4 mid sec right org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 4 mid sec right org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 4 mid sec right org.nd2,6.23 DCX Nes E2P2 DIV 18 Slide 4 mid sec right org,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.23 Lhx6 Sox 2 E2P2 DIV 18 Slide 1 mid sec left org.nd2,6.23 Lhx6 Sox 2 E2P2 DIV 18 Slide 1 mid sec left org.nd2,6.23 Lhx6 Sox 2 E2P2 DIV 18 Slide 1 mid sec left org.nd2,6.23 Lhx6 Sox 2 E2P2 DIV 18 Slide 1 mid sec left org,3,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI']",
/Volumes/MannySSD/rw/6.23 Lhx6 Sox 2 E2P2 DIV 18 Slide 1 mid sec right org.nd2,6.23 Lhx6 Sox 2 E2P2 DIV 18 Slide 1 mid sec right org.nd2,6.23 Lhx6 Sox 2 E2P2 DIV 18 Slide 1 mid sec right org.nd2,6.23 Lhx6 Sox 2 E2P2 DIV 18 Slide 1 mid sec right org,3,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI']",
